:START_ID,:END_ID,weight:int,:TYPE
NED,ROBERT,192,SEASON1
DAENERYS,JORAH,154,SEASON1
JON,SAM,121,SEASON1
LITTLEFINGER,NED,107,SEASON1
NED,VARYS,96,SEASON1
DAENERYS,DROGO,91,SEASON1
ARYA,NED,90,SEASON1
CATELYN,ROBB,90,SEASON1
BRONN,TYRION,86,SEASON1
CERSEI,NED,86,SEASON1
CERSEI,ROBERT,80,SEASON1
LITTLEFINGER,VARYS,73,SEASON1
SHAE,TYRION,73,SEASON1
CATELYN,NED,69,SEASON1
JOFFREY,SANSA,69,SEASON1
NED,PYCELLE,68,SEASON1
DAENERYS,VISERYS,66,SEASON1
SANSA,SEPTA_MORDANE,64,SEASON1
TYRION,TYWIN,61,SEASON1
JEOR,JON,60,SEASON1
ROBB,THEON,60,SEASON1
CERSEI,JOFFREY,54,SEASON1
ARYA,SANSA,53,SEASON1
BRAN,MAESTER_LUWIN,53,SEASON1
JAIME,NED,53,SEASON1
NED,SANSA,49,SEASON1
BRAN,ROBB,48,SEASON1
LORAS,RENLY,47,SEASON1
CERSEI,JAIME,46,SEASON1
DAENERYS,MIRRI_MAZ_DUUR,45,SEASON1
JON,TYRION,45,SEASON1
ARYA,SYRIO_FOREL,44,SEASON1
JORY_CASSEL,NED,44,SEASON1
JORAH,VISERYS,43,SEASON1
JON,PYP,42,SEASON1
CATELYN,TYRION,41,SEASON1
ROS,THEON,40,SEASON1
JOFFREY,NED,39,SEASON1
CERSEI,SANSA,36,SEASON1
GRENN,PYP,36,SEASON1
CATELYN,WALDER,34,SEASON1
DAENERYS,DOREAH,34,SEASON1
JAIME,TYRION,34,SEASON1
JAIME,TYWIN,34,SEASON1
BENJEN,JON,33,SEASON1
DAENERYS,IRRI,32,SEASON1
GREATJON_UMBER,ROBB,31,SEASON1
MORD,TYRION,31,SEASON1
CATELYN,LYSA,30,SEASON1
DOREAH,VISERYS,30,SEASON1
JORAH,RAKHARO,30,SEASON1
LYSA,ROBIN,30,SEASON1
LYSA,TYRION,30,SEASON1
NED,RENLY,30,SEASON1
PYP,SAM,30,SEASON1
RENLY,ROBERT,30,SEASON1
BRAN,NED,29,SEASON1
BRAN,OSHA,29,SEASON1
JON,NED,29,SEASON1
BRAN,CATELYN,28,SEASON1
CATELYN,JAIME,28,SEASON1
CATELYN,RODRIK,28,SEASON1
DAENERYS,QOTHO,28,SEASON1
JOFFREY,ROBERT,28,SEASON1
JON,MAESTER_AEMON,28,SEASON1
DROGO,VISERYS,27,SEASON1
JAIME,JORY_CASSEL,27,SEASON1
BRAN,THEON,26,SEASON1
CATELYN,LITTLEFINGER,26,SEASON1
CATELYN,MAESTER_LUWIN,26,SEASON1
BARRISTAN,NED,25,SEASON1
ILLYRIO,VISERYS,25,SEASON1
JON,ROBB,25,SEASON1
OSHA,THEON,25,SEASON1
ARYA,JOFFREY,24,SEASON1
GRENN,JON,24,SEASON1
NED,ROBB,23,SEASON1
BARRISTAN,ROBERT,22,SEASON1
CATELYN,CERSEI,22,SEASON1
LITTLEFINGER,SANSA,22,SEASON1
SHAGGA,TYRION,22,SEASON1
TYRION,YOREN,22,SEASON1
ALLISER_THORNE,JON,20,SEASON1
ARYA,JON,20,SEASON1
DROGO,JORAH,20,SEASON1
JAIME,ROBERT,20,SEASON1
BRAN,JON,19,SEASON1
DAENERYS,WINE_MERCHANT,19,SEASON1
HOUND,SANSA,19,SEASON1
LITTLEFINGER,PYCELLE,19,SEASON1
LITTLEFINGER,ROS,19,SEASON1
THEON,TYRION,19,SEASON1
ALLISER_THORNE,SAM,18,SEASON1
ARYA,YOREN,18,SEASON1
CERSEI,TYRION,18,SEASON1
BENJEN,TYRION,17,SEASON1
DAENERYS,RAKHARO,17,SEASON1
JEOR,SAM,17,SEASON1
LITTLEFINGER,RENLY,17,SEASON1
MAESTER_LUWIN,ROBB,17,SEASON1
ROBERT,SANSA,17,SEASON1
ROS,TYRION,17,SEASON1
CATELYN,THEON,16,SEASON1
GRENN,SAM,16,SEASON1
HOUND,JOFFREY,16,SEASON1
ROBB,TYRION,16,SEASON1
BRAN,TYRION,15,SEASON1
CATELYN,ROBERT,15,SEASON1
JEOR,TYRION,15,SEASON1
JOFFREY,TYRION,15,SEASON1
JOFFREY,VARYS,15,SEASON1
LANCEL,ROBERT,15,SEASON1
MIRRI_MAZ_DUUR,QOTHO,15,SEASON1
NED,YOREN,15,SEASON1
PYCELLE,VARYS,15,SEASON1
BENJEN,NED,14,SEASON1
BRAN,RICKON,14,SEASON1
CATELYN,JON,14,SEASON1
CATELYN,SANSA,14,SEASON1
JOFFREY,MARILLION,14,SEASON1
KEVAN,TYRION,14,SEASON1
LITTLEFINGER,ROBERT,14,SEASON1
BARRISTAN,CERSEI,13,SEASON1
CATELYN,VARDIS_EGEN,13,SEASON1
CERSEI,VARYS,13,SEASON1
DAENERYS,RHAEGO,13,SEASON1
JANOS,NED,13,SEASON1
JOFFREY,PYCELLE,13,SEASON1
MAESTER_LUWIN,THEON,13,SEASON1
NED,THEON,13,SEASON1
PYCELLE,SANSA,13,SEASON1
GENDRY,NED,12,SEASON1
HOT_PIE,LOMMY_GREENHANDS,12,SEASON1
JOFFREY,LITTLEFINGER,12,SEASON1
JOFFREY,MERYN_TRANT,12,SEASON1
JOFFREY,ROBB,12,SEASON1
JON_ARRYN,NED,12,SEASON1
KEVAN,TYWIN,12,SEASON1
MAESTER_LUWIN,OSHA,12,SEASON1
ARYA,SEPTA_MORDANE,11,SEASON1
BRAN,HODOR,11,SEASON1
BRONN,SHAE,11,SEASON1
CATELYN,GREATJON_UMBER,11,SEASON1
CATELYN,VARYS,11,SEASON1
GREATJON_UMBER,THEON,11,SEASON1
IRRI,RAKHARO,11,SEASON1
MERYN_TRANT,SYRIO_FOREL,11,SEASON1
NED,TYRION,11,SEASON1
NED,TYWIN,11,SEASON1
PYCELLE,ROBERT,11,SEASON1
RENLY,STANNIS,11,SEASON1
ROBB,RODRIK,11,SEASON1
ROBERT,VARYS,11,SEASON1
ALLISER_THORNE,PYP,10,SEASON1
ARYA,ROBERT,10,SEASON1
CATELYN,ROBIN,10,SEASON1
DAENERYS,ILLYRIO,10,SEASON1
DROGO,MAGO,10,SEASON1
HOUND,NED,10,SEASON1
HOUND,TYRION,10,SEASON1
JAIME,JON,10,SEASON1
JAIME,ROBB,10,SEASON1
JEOR,PYP,10,SEASON1
JOFFREY,MYCAH,10,SEASON1
JORAH,WINE_MERCHANT,10,SEASON1
MERYN_TRANT,SANSA,10,SEASON1
NED,RODRIK,10,SEASON1
NED,STANNIS,10,SEASON1
NED,TOBHO_MOTT,10,SEASON1
PYP,RAST,10,SEASON1
ALLISER_THORNE,JEOR,9,SEASON1
ARYA,CERSEI,9,SEASON1
BRAN,JAIME,9,SEASON1
BRAN,OLD_NAN,9,SEASON1
CERSEI,PYCELLE,9,SEASON1
DROGO,MIRRI_MAZ_DUUR,9,SEASON1
ILLYRIO,VARYS,9,SEASON1
IRRI,JORAH,9,SEASON1
JEOR,MAESTER_AEMON,9,SEASON1
MHAEGEN,NED,9,SEASON1
NED,SEPTA_MORDANE,9,SEASON1
PYCELLE,ROS,9,SEASON1
RENLY,VARYS,9,SEASON1
ROBB,SANSA,9,SEASON1
ROBIN,TYRION,9,SEASON1
RODRIK,TYRION,9,SEASON1
VARDIS_EGEN,TYRION,9,SEASON1
AERYS,NED,8,SEASON1
BAELOR,NED,8,SEASON1
CERSEI,LITTLEFINGER,8,SEASON1
CERSEI,ROBB,8,SEASON1
DAENERYS,MAGO,8,SEASON1
DAREON,PYP,8,SEASON1
HOUND,MERYN_TRANT,8,SEASON1
JORAH,MIRRI_MAZ_DUUR,8,SEASON1
OSHA,ROBB,8,SEASON1
PYCELLE,RENLY,8,SEASON1
ROBERT,TYWIN,8,SEASON1
RODRIK,THEON,8,SEASON1
SANSA,VARYS,8,SEASON1
AERYS,ROBERT,7,SEASON1
ALLISER_THORNE,GRENN,7,SEASON1
ARYA,CATELYN,7,SEASON1
ARYA,GENDRY,7,SEASON1
ARYA,HOUND,7,SEASON1
ARYA,JORY_CASSEL,7,SEASON1
ARYA,STABLE_BOY,7,SEASON1
ARYA,VARYS,7,SEASON1
BRAN,ROBERT,7,SEASON1
BRONN,CATELYN,7,SEASON1
GREATJON_UMBER,RODRIK,7,SEASON1
HUGH_OF_THE_VALE,JORY_CASSEL,7,SEASON1
JON,RAST,7,SEASON1
JON,THEON,7,SEASON1
JON_ARRYN,ROBERT,7,SEASON1
JORY_CASSEL,LITTLEFINGER,7,SEASON1
LYSA,VARDIS_EGEN,7,SEASON1
MAESTER_AEMON,TYRION,7,SEASON1
MAESTER_LUWIN,TYRION,7,SEASON1
ROBERT,TYRION,7,SEASON1
ROBERT,VISERYS,7,SEASON1
ARYA,ROBB,6,SEASON1
BARRISTAN,VARYS,6,SEASON1
BRONN,RODRIK,6,SEASON1
DROGO,ILLYRIO,6,SEASON1
DROGO,QOTHO,6,SEASON1
DROGO,RHAEGO,6,SEASON1
GRENN,RAST,6,SEASON1
GRENN,TYRION,6,SEASON1
HOUND,ROBERT,6,SEASON1
HUGH_OF_THE_VALE,NED,6,SEASON1
JAIME,JOFFREY,6,SEASON1
JEOR,OTHELL_YARWYCK,6,SEASON1
JEOR,OTHOR,6,SEASON1
LITTLEFINGER,MOUNTAIN,6,SEASON1
LITTLEFINGER,TYRION,6,SEASON1
MAESTER_AEMON,PYP,6,SEASON1
MAESTER_AEMON,SAM,6,SEASON1
NED,SYRIO_FOREL,6,SEASON1
NED,TOMARD,6,SEASON1
OTHELL_YARWYCK,SAM,6,SEASON1
PYP,TYRION,6,SEASON1
RAST,SAM,6,SEASON1
SHAGGA,TYWIN,6,SEASON1
ARYA,BAELOR,5,SEASON1
ARYA,BRAN,5,SEASON1
ARYA,HOT_PIE,5,SEASON1
ARYA,LITTLEFINGER,5,SEASON1
ARYA,MERYN_TRANT,5,SEASON1
ARYA,MYCAH,5,SEASON1
BARRISTAN,JOFFREY,5,SEASON1
BENJEN,ROBB,5,SEASON1
BENJEN,YOREN,5,SEASON1
BRAN,RODRIK,5,SEASON1
BRONN,LYSA,5,SEASON1
BRONN,SHAGGA,5,SEASON1
BRONN,TYWIN,5,SEASON1
CATELYN,MORD,5,SEASON1
DAENERYS,ROBERT,5,SEASON1
DOREAH,IRRI,5,SEASON1
DROGO,RAKHARO,5,SEASON1
GARED,ROYCE,5,SEASON1
GENDRY,TOBHO_MOTT,5,SEASON1
HOUND,LITTLEFINGER,5,SEASON1
HOUND,MOUNTAIN,5,SEASON1
JAIME,KEVAN,5,SEASON1
JAIME,LITTLEFINGER,5,SEASON1
JANOS,VARYS,5,SEASON1
JOFFREY,SEPTA_MORDANE,5,SEASON1
JON,OTHELL_YARWYCK,5,SEASON1
JON,OTHOR,5,SEASON1
JON_ARRYN,LITTLEFINGER,5,SEASON1
JON_ARRYN,LYSA,5,SEASON1
JONOS_BRACKEN,ROBB,5,SEASON1
JORAH,QOTHO,5,SEASON1
LYSA,MORD,5,SEASON1
MAESTER_LUWIN,NED,5,SEASON1
MARILLION,RODRIK,5,SEASON1
MARILLION,TYRION,5,SEASON1
MASHA_HEDDLE,TYRION,5,SEASON1
MOUNTAIN,NED,5,SEASON1
RENLY,SANSA,5,SEASON1
ROBB,ROBERT,5,SEASON1
ROBB,TYWIN,5,SEASON1
ROBB,WALDER,5,SEASON1
ROBERT,STANNIS,5,SEASON1
AERYS,RICKARD_STARK,4,SEASON1
ALLISER_THORNE,RAST,4,SEASON1
ARYA,ILYN_PAYNE,4,SEASON1
BAELOR,YOREN,4,SEASON1
BARRISTAN,JAIME,4,SEASON1
BARRISTAN,LITTLEFINGER,4,SEASON1
BARRISTAN,PYCELLE,4,SEASON1
BRAN,CERSEI,4,SEASON1
BRONN,VARDIS_EGEN,4,SEASON1
CATELYN,JON_ARRYN,4,SEASON1
CATELYN,MARILLION,4,SEASON1
CATELYN,TYWIN,4,SEASON1
CERSEI,HOUND,4,SEASON1
DAENERYS,VARYS,4,SEASON1
DAREON,JON,4,SEASON1
DAREON,SAM,4,SEASON1
GARED,WILL,4,SEASON1
GRENN,JEOR,4,SEASON1
HOUND,LORAS,4,SEASON1
HUGH_OF_THE_VALE,LITTLEFINGER,4,SEASON1
ILYN_PAYNE,JOFFREY,4,SEASON1
ILYN_PAYNE,NED,4,SEASON1
ILYN_PAYNE,SANSA,4,SEASON1
ILYN_PAYNE,YOREN,4,SEASON1
JAIME,ROS,4,SEASON1
JAIME,THEON,4,SEASON1
JORY_CASSEL,ROBERT,4,SEASON1
LANCEL,NED,4,SEASON1
LITTLEFINGER,SEPTA_MORDANE,4,SEASON1
LITTLEFINGER,TYWIN,4,SEASON1
LORAS,MOUNTAIN,4,SEASON1
LORAS,NED,4,SEASON1
LORAS,SANSA,4,SEASON1
LYANNA,NED,4,SEASON1
MIRRI_MAZ_DUUR,RAKHARO,4,SEASON1
MOUNTAIN,ROBERT,4,SEASON1
MOUNTAIN,SANSA,4,SEASON1
MYCAH,SANSA,4,SEASON1
NED,RICKARD_STARK,4,SEASON1
OLD_NAN,ROBB,4,SEASON1
ROYCE,WILL,4,SEASON1
RYGER_RIVERS,WALDER,4,SEASON1
SANSA,YOREN,4,SEASON1
SHAE,TYWIN,4,SEASON1
STEVRON_FREY,WALDER,4,SEASON1
WAYMAR_ROYCE,WILL,4,SEASON1
ADDAM_MARBRAND,KEVAN,3,SEASON1
ADDAM_MARBRAND,LEO_LEFFORD,3,SEASON1
AERYS,JAIME,3,SEASON1
AERYS,RHAEGAR,3,SEASON1
ALLISER_THORNE,OTHELL_YARWYCK,3,SEASON1
ARYA,JAIME,3,SEASON1
ARYA,PYCELLE,3,SEASON1
ASSASSIN,CATELYN,3,SEASON1
BAELOR,ILYN_PAYNE,3,SEASON1
BALON,THEON,3,SEASON1
BARRISTAN,LANCEL,3,SEASON1
BARRISTAN,RENLY,3,SEASON1
BERIC,NED,3,SEASON1
BRAN,WILL,3,SEASON1
BRANDON_STARK,NED,3,SEASON1
BRONN,MORD,3,SEASON1
BRONN,ROBIN,3,SEASON1
CATELYN,HOSTER,3,SEASON1
CATELYN,JOFFREY,3,SEASON1
CATELYN,MASHA_HEDDLE,3,SEASON1
CATELYN,YOREN,3,SEASON1
CERSEI,ILYN_PAYNE,3,SEASON1
CERSEI,JON,3,SEASON1
CERSEI,JON_ARRYN,3,SEASON1
CERSEI,LANCEL,3,SEASON1
CERSEI,RENLY,3,SEASON1
CERSEI,TYWIN,3,SEASON1
COHOLLO,DROGO,3,SEASON1
DAENERYS,NED,3,SEASON1
DOREAH,DROGO,3,SEASON1
DOREAH,WINE_MERCHANT,3,SEASON1
GENDRY,HOT_PIE,3,SEASON1
GREATJON_UMBER,JAIME,3,SEASON1
GREATJON_UMBER,TYWIN,3,SEASON1
HODOR,ROBB,3,SEASON1
HODOR,THEON,3,SEASON1
HODOR,TYRION,3,SEASON1
HOSTER,WALDER,3,SEASON1
HOUND,ILYN_PAYNE,3,SEASON1
IRRI,JHIQUI,3,SEASON1
IRRI,VISERYS,3,SEASON1
JANOS,RENLY,3,SEASON1
JEOR,NED,3,SEASON1
JEOR,ROBERT,3,SEASON1
JOFFREY,RENLY,3,SEASON1
JOFFREY,TYWIN,3,SEASON1
JOFFREY,YOREN,3,SEASON1
JON,ROBERT,3,SEASON1
JON,WILL,3,SEASON1
JON_ARRYN,PYCELLE,3,SEASON1
JON_ARRYN,ROBIN,3,SEASON1
JORAH,RHAEGO,3,SEASON1
LITTLEFINGER,STANNIS,3,SEASON1
LORAS,ROBERT,3,SEASON1
LYANNA,ROBERT,3,SEASON1
MERYN_TRANT,NED,3,SEASON1
MORD,ROBIN,3,SEASON1
MORD,VARDIS_EGEN,3,SEASON1
MYCAH,NED,3,SEASON1
MYRCELLA,TYRION,3,SEASON1
NED,PYP,3,SEASON1
NED,WILL,3,SEASON1
OSHA,RICKON,3,SEASON1
QOTHO,RAKHARO,3,SEASON1
RAKHARO,VISERYS,3,SEASON1
RAKHARO,WINE_MERCHANT,3,SEASON1
RAST,TYRION,3,SEASON1
RENLY,ROBB,3,SEASON1
RICKON,ROBB,3,SEASON1
ROBIN,VARDIS_EGEN,3,SEASON1
THEON,WALDER,3,SEASON1
VARYS,YOREN,3,SEASON1
ADDAM_MARBRAND,TYWIN,2,SEASON1
AEGON,AERYS,2,SEASON1
AEGON,MAESTER_AEMON,2,SEASON1
AERYS,BARRISTAN,2,SEASON1
AERYS,CATELYN,2,SEASON1
AERYS,JORAH,2,SEASON1
AERYS,MAESTER_AEMON,2,SEASON1
AERYS,RENLY,2,SEASON1
AERYS,SANSA,2,SEASON1
AERYS,SEPTA_MORDANE,2,SEASON1
ALLISER_THORNE,MAESTER_AEMON,2,SEASON1
ARYA,ILLYRIO,2,SEASON1
ARYA,LOMMY_GREENHANDS,2,SEASON1
ARYA,TYRION,2,SEASON1
ASSASSIN,BRAN,2,SEASON1
ASSASSIN,ROBB,2,SEASON1
BAELOR,CERSEI,2,SEASON1
BAELOR,HOUND,2,SEASON1
BAELOR,JOFFREY,2,SEASON1
BAELOR,PYCELLE,2,SEASON1
BAELOR,SANSA,2,SEASON1
BALON,TYRION,2,SEASON1
BENJEN,CATELYN,2,SEASON1
BENJEN,CERSEI,2,SEASON1
BENJEN,JEOR,2,SEASON1
BENJEN,ROBERT,2,SEASON1
BERIC,ROBERT,2,SEASON1
BORCAS,DAREON,2,SEASON1
BORCAS,PYP,2,SEASON1
BOWEN_MARSH,DAREON,2,SEASON1
BOWEN_MARSH,PYP,2,SEASON1
BRAN,BRANDON_STARK,2,SEASON1
BRAN,HOUND,2,SEASON1
BRANDON_STARK,CATELYN,2,SEASON1
BRANDON_STARK,JON,2,SEASON1
BRANDON_STARK,RICKARD_STARK,2,SEASON1
BRONN,KEVAN,2,SEASON1
BRONN,MARILLION,2,SEASON1
CATELYN,DAENERYS,2,SEASON1
CATELYN,HOUND,2,SEASON1
CATELYN,STEVRON_FREY,2,SEASON1
CERSEI,JEOR,2,SEASON1
CERSEI,LYANNA,2,SEASON1
CERSEI,MERYN_TRANT,2,SEASON1
CERSEI,ROS,2,SEASON1
CERSEI,STANNIS,2,SEASON1
CERSEI,YOREN,2,SEASON1
DAENERYS,JHIQUI,2,SEASON1
DAENERYS,SANSA,2,SEASON1
DAREON,GRENN,2,SEASON1
DAREON,JEOR,2,SEASON1
DAREON,LUKE,2,SEASON1
DAREON,MAESTER_AEMON,2,SEASON1
DAREON,RAST,2,SEASON1
DOREAH,IROGENIA,2,SEASON1
DOREAH,JHIQUI,2,SEASON1
DOREAH,JORAH,2,SEASON1
DROGO,IRRI,2,SEASON1
DROGO,ROBERT,2,SEASON1
GALBART_GLOVER,GREATJON_UMBER,2,SEASON1
GALBART_GLOVER,JONOS_BRACKEN,2,SEASON1
GALBART_GLOVER,ROBB,2,SEASON1
GENDRY,VARYS,2,SEASON1
GENDRY,YOREN,2,SEASON1
GREATJON_UMBER,NED,2,SEASON1
GREATJON_UMBER,RENLY,2,SEASON1
GREATJON_UMBER,RICKARD_KARSTARK,2,SEASON1
GREATJON_UMBER,STANNIS,2,SEASON1
GREATJON_UMBER,WALDER,2,SEASON1
HIGH_SEPTON,NED,2,SEASON1
HODOR,OSHA,2,SEASON1
HOUND,JAIME,2,SEASON1
HOUND,ROBB,2,SEASON1
HOUND,YOREN,2,SEASON1
HUGH_OF_THE_VALE,JON_ARRYN,2,SEASON1
HUGH_OF_THE_VALE,MOUNTAIN,2,SEASON1
HUGH_OF_THE_VALE,SANSA,2,SEASON1
ILLYRIO,JORAH,2,SEASON1
ILYN_PAYNE,MERYN_TRANT,2,SEASON1
ILYN_PAYNE,VARYS,2,SEASON1
JAIME,JON_ARRYN,2,SEASON1
JAIME,RICKARD_STARK,2,SEASON1
JAIME,SANSA,2,SEASON1
JAIME,TYSHA,2,SEASON1
JANOS,LITTLEFINGER,2,SEASON1
JANOS,PYCELLE,2,SEASON1
JAREMY_RYKKER,JEOR,2,SEASON1
JAREMY_RYKKER,OTHELL_YARWYCK,2,SEASON1
JAREMY_RYKKER,PYP,2,SEASON1
JEOR,JOFFREY,2,SEASON1
JOANNA,TYRION,2,SEASON1
JOFFREY,JON,2,SEASON1
JOFFREY,TOMMEN,2,SEASON1
JOFFREY,WILL,2,SEASON1
JON,RODRIK,2,SEASON1
JON,ROS,2,SEASON1
JON_ARRYN,VARYS,2,SEASON1
JORAH,LITTLE_BIRD,2,SEASON1
JORAH,NED,2,SEASON1
JORAH,VARYS,2,SEASON1
JORY_CASSEL,MHAEGEN,2,SEASON1
JORY_CASSEL,THEON,2,SEASON1
JOYEUSE,WALDER,2,SEASON1
KEVAN,LEO_LEFFORD,2,SEASON1
KEVAN,SHAGGA,2,SEASON1
LANCEL,RENLY,2,SEASON1
LEO_LEFFORD,TYRION,2,SEASON1
LITTLEFINGER,LORAS,2,SEASON1
LITTLEFINGER,MHAEGEN,2,SEASON1
LITTLEFINGER,YOREN,2,SEASON1
LORAS,MACE,2,SEASON1
LUKE,PYP,2,SEASON1
MAESTER_LUWIN,ROBERT,2,SEASON1
MAESTER_LUWIN,RODRIK,2,SEASON1
MAESTER_LUWIN,SANSA,2,SEASON1
MARILLION,MERYN_TRANT,2,SEASON1
MARILLION,YOREN,2,SEASON1
MELESSA,SAM,2,SEASON1
MORD,RODRIK,2,SEASON1
NED,ROOSE_BOLTON,2,SEASON1
NED,ROS,2,SEASON1
NED,STEFFON,2,SEASON1
NED,VARLY,2,SEASON1
OLD_NAN,THEON,2,SEASON1
OTHELL_YARWYCK,PYP,2,SEASON1
OTHOR,PYP,2,SEASON1
OTHOR,SAM,2,SEASON1
PYCELLE,TYWIN,2,SEASON1
PYCELLE,YOREN,2,SEASON1
RANDYLL,SAM,2,SEASON1
RENLY,TOMARD,2,SEASON1
RHAEGAR,ROBERT,2,SEASON1
RHAEGO,VISERYS,2,SEASON1
RICKARD_KARSTARK,ROBB,2,SEASON1
RICKARD_KARSTARK,THEON,2,SEASON1
ROBB,STANNIS,2,SEASON1
ROBB,VARYS,2,SEASON1
ROBERT,ROS,2,SEASON1
ROBERT,TOMMEN,2,SEASON1
RODRIK,TYWIN,2,SEASON1
SANSA,STANNIS,2,SEASON1
STANNIS,TOMARD,2,SEASON1
THEON,WILL,2,SEASON1
TYRION,TYSHA,2,SEASON1
TYRION,VARYS,2,SEASON1
